country,iso3,country_name,gdp_ppp_2023,median_age_2023,internet_pen_2023,digital_pay_2021,hdi_2023
US,USA,United States,82304.6204272866,38.023,93.52559662,0.929663801012284,0.938
DE,DEU,Germany,71684.0311875583,45.147,92.4763763,0.994807324065067,0.959
FI,FIN,Finland,63414.9936878177,42.789,93.51385075,0.984739467234647,0.948
RU,RUS,Russian Federation,44268.73046875,39.454,92.24496346,0.874150459442505,0.832
BR,BRA,Brazil,21175.6186988214,33.942,84.15060238,0.765156576066863,0.786
MX,MEX,Mexico,25243.1644887582,28.886,81.18318755,,0.789
IN,IND,India,10323.4998734428,28.06,60.25230026,0.349317299044962,0.685
ID,IDN,Indonesia,15415.7079259527,29.831,69.20836554,0.371858537004777,0.728
PH,PHL,Philippines,10985.8292627505,25.287,77.86699677,0.434522964546183,0.72
PK,PAK,Pakistan,6013.989636386,20.287,,0.176233271997723,0.544
CA,CAN,Canada,64219.3173928637,40.343,94.14530182,0.983481469545198,0.939
GB,GBR,United Kingdom,59911.3467663209,39.782,95.44719696,0.991693969813959,0.946
FR,FRA,France,60838.9416716424,41.817,86.83635789,0.984479399827727,0.92
ES,ESP,Spain,55682.2402603093,44.903,95.44564516,0.975296812844126,0.918
IT,ITA,Italy,60029.871712398,47.461,87.0278292,0.957753255144847,0.915
NL,NLD,Netherlands,81728.6904629268,41.396,97.00680272,0.987854263858091,0.955
BE,BEL,Belgium,71946.1447190292,41.44,94.62625074,0.97414604049026,0.951
CH,CHE,Switzerland,95141.5960943632,42.331,97.34436623,0.982166739709475,0.97
AT,AUT,Austria,73544.6567230487,43.086,95.33467117,0.993001499882384,0.93
PL,POL,Poland,48473.0940286419,41.31,86.414744,0.931843993558558,0.906
SE,SWE,Sweden,69226.3272756663,39.913,95.70327461,0.990595785214184,0.959
NO,NOR,Norway,103637.516843678,39.54,99.00000258,0.994777714580126,0.97
DK,DNK,Denmark,77892.2932609904,41.249,98.77559197,1.0,0.962
IE,IRL,Ireland,129682.607150517,38.416,96.8660965,0.982163399656721,0.949
PT,PRT,Portugal,49352.8388613032,46.2,85.79012676,0.906443961480128,0.89
JP,JPN,Japan,50661.7663463109,48.958,85.00990295,0.957906039649693,0.925
KR,KOR,"Korea, Rep.",57429.8031076402,44.486,97.41597478,0.979389372051234,0.937
TW,TWN,,,43.538,,0.877492423364451,
HK,HKG,"Hong Kong SAR, China",71512.3193551161,46.155,95.97781908,0.927671215820433,0.955
SG,SGP,Singapore,143786.136293013,35.102,94.28518987,0.94838043412618,0.946
MY,MYS,Malaysia,36466.8914938333,30.058,97.69272633,0.792964493422399,0.819
TH,THA,Thailand,23519.2120979823,39.658,89.53525238,0.920256352328798,0.798
VN,VNM,Viet Nam,15033.8768594355,32.429,78.08,,0.766
AU,AUS,Australia,72272.7092136683,37.751,96.1160965,0.98949552622401,0.958
NZ,NZL,New Zealand,54697.382252318,37.28,93.32610321,0.97598536425928,0.938
AR,ARG,Argentina,30221.4976888753,32.122,89.22897166,0.650202140261449,0.865
CL,CHL,Chile,33145.403552025,35.969,94.45742345,0.842870208794319,0.878
CO,COL,Colombia,21246.3762695201,31.606,77.33686322,0.521095249927642,0.788
PE,PER,Peru,17011.2278028825,29.451,79.48484477,0.491407135118103,0.794
AE,ARE,United Arab Emirates,77955.2951760879,31.232,100.0,0.766119280152843,0.94
SA,SAU,Saudi Arabia,71564.800028565,29.247,100.0,0.73454579640307,0.9
ZA,ZAF,South Africa,15199.7329823776,28.213,78.33670044,0.808057747566285,0.741
